command,expected,label,context_has_staged,context_has_unstaged,context_is_init,edit_distance,flag_delta,arg_delta
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git status,git status,CORRECT,0,1,1,0,0,0
git diff -v,git diff,WRONG_FLAG,0,1,1,3,1,0
git init --verbose,git init,EXTRA_ARG,0,0,0,10,1,0
git dd hello.tt,git add hello.txt,TYPO,0,1,1,2,0,0
status,git status,PARTIALLY_CORRECT,0,1,1,4,0,0
git log,git log --oneline,PARTIALLY_CORRECT,0,0,1,10,-1,0
git new feature,git branch feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
git commit -m 'message',git diff,WRONG_ORDER,0,1,1,18,1,1
git switch feature --force,git switch feature,EXTRA_ARG,0,0,1,8,1,0
git add hello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,0,0,0
git add,git add hello.txt,MISSING_ARG,0,1,1,10,0,-1
rm -rf test,git stash,UNKNOWN,0,1,1,9,1,1
git switch,git switch feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git join feature,git merge feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
cd ..,git merge feature,UNKNOWN,0,0,1,16,0,-1
git switch,git switch feature,MISSING_ARG,0,0,1,8,0,-1
git branch feature,git branch feature,CORRECT,0,0,1,0,0,0
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",CORRECT,1,0,1,0,0,0
git init --force,git init,EXTRA_ARG,0,0,0,8,1,0
git it,git init,TYPO,0,0,0,2,0,0
git branch feature,git branch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git push origin main,git stash,WRONG_ORDER,0,1,1,14,0,2
git merge --no-ff feature,git merge feature,DEPRECATED_USAGE,0,0,1,8,1,0
git lo --onqeline,git log --oneline,TYPO,0,0,1,2,0,0
gmt stash,git stash,TYPO,0,1,1,1,0,0
git,git status,MISSING_ARG,0,1,1,7,0,0
git diff,git diff,SYNTAX_ERROR,0,1,1,0,0,0
git commit --message 'Add hello.txt',"git commit -m ""Add hello.txt""",DEPRECATED_USAGE,1,0,1,9,0,0
git,git stash,MISSING_ARG,0,1,1,6,0,0
gitbranchfeature,git branch feature,SYNTAX_ERROR,0,0,1,2,0,-1
git add hello.txt --dry-run,git add hello.txt,EXTRA_ARG,0,1,1,10,1,0
git switch,git switch feature,MISSING_ARG,0,0,1,8,0,-1
git checkout feature,git switch feature,DEPRECATED_USAGE,0,0,1,8,0,0
git add hello.txt --verbose,git add hello.txt,WRONG_FLAG,0,1,1,10,1,0
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
python script.py,git log --oneline,UNKNOWN,0,0,1,14,-1,0
git switch feature,git init,WRONG_ORDER,0,0,0,12,0,1
git add -u hello.txt,git add hello.txt,DEPRECATED_USAGE,0,1,1,3,1,0
git switch feature,git switch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git push origin main,git init,WRONG_ORDER,0,0,0,13,0,2
git checkout feature,git switch feature,DEPRECATED_USAGE,0,0,1,8,0,0
git sta,git stash,PARTIALLY_CORRECT,0,1,1,2,0,0
git init .,git init,DEPRECATED_USAGE,0,0,0,2,0,1
"git commit -m ""Add hello.txt"" extra_file.txt","git commit -m ""Add hello.txt""",EXTRA_ARG,1,0,1,15,0,1
git show-log,git log --oneline,WRONG_SUBCOMMAND,0,0,1,11,-1,0
gtdiff,git diff,TYPO,0,1,1,2,0,0
git init -f,git init,WRONG_FLAG,0,0,0,3,1,0
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",CORRECT,1,0,1,0,0,0
git branch feature,git switch feature,PARTIALLY_CORRECT,0,0,1,4,0,0
git show-diff,git diff,WRONG_SUBCOMMAND,0,1,1,5,0,0
git merge feature,git merge feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
gitinit,git init,SYNTAX_ERROR,0,0,0,1,0,0
git estash,git stash,TYPO,0,1,1,1,0,0
git merge main,git switch feature,WRONG_ORDER,0,0,1,12,0,0
ls -la,git stash,UNKNOWN,0,1,1,7,1,0
git push origin main,git add hello.txt,WRONG_ORDER,0,1,1,15,0,1
git branch -b feature,git branch feature,DEPRECATED_USAGE,0,0,1,3,1,0
git stage hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,4,0,0
mkdir test,git stash,UNKNOWN,0,1,1,7,0,0
git merge feature,git merge feature,CORRECT,0,0,1,0,0,0
git branch feature -f,git branch feature,WRONG_FLAG,0,0,1,3,1,0
git,git init,MISSING_ARG,0,0,0,5,0,0
git status,git status,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git log,git log --oneline,MISSING_ARG,0,0,1,10,-1,0
npm install,git add hello.txt,UNKNOWN,0,1,1,14,0,-1
git log --oneline,git log --oneline,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git ulo --oneline,git log --oneline,TYPO,0,0,1,2,0,0
git,git diff,MISSING_ARG,0,1,1,5,0,0
git branch -b feature,git branch feature,DEPRECATED_USAGE,0,0,1,3,1,0
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
gitlog--oneline,git log --oneline,SYNTAX_ERROR,0,0,1,2,-1,0
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git changes,git diff,WRONG_SUBCOMMAND,0,1,1,7,0,0
git switch feature -v,git switch feature,WRONG_FLAG,0,0,1,3,1,0
git sta,git stash,PARTIALLY_CORRECT,0,1,1,2,0,0
git stash save,git stash,DEPRECATED_USAGE,0,1,1,5,0,1
git --log --oneline,git log --oneline,SYNTAX_ERROR,0,0,1,2,1,0
git add .txt,git add hello.txt,PARTIALLY_CORRECT,0,1,1,5,0,0
git add,git add hello.txt,MISSING_ARG,0,1,1,10,0,-1
git add,git add hello.txt,MISSING_ARG,0,1,1,10,0,-1
git add hello.txt,git add hello.txt,CORRECT,0,1,1,0,0,0
npm install,git stash,UNKNOWN,0,1,1,7,0,0
ls -la,git init,UNKNOWN,0,0,0,7,1,0
pip install requests,git add hello.txt,UNKNOWN,0,1,1,15,0,0
gitmergefeature,git merge feature,SYNTAX_ERROR,0,0,1,2,0,-1
git branch feare,git branch feature,TYPO,0,0,1,2,0,0
git log --oneline,git log --oneline,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git init,git init,WRONG_CONTEXT_STATE,1,1,1,0,0,0
git changes,git diff,WRONG_SUBCOMMAND,0,1,1,7,0,0
python script.py,git diff,UNKNOWN,0,1,1,13,0,0
git stash,git stash,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git hswitch feature,git switch feature,TYPO,0,0,1,1,0,0
git switch feature,git status,WRONG_ORDER,0,1,1,9,0,1
giht status,git status,TYPO,0,1,1,1,0,0
python script.py,git init,UNKNOWN,0,0,0,12,0,0
git add,git add hello.txt,MISSING_ARG,0,1,1,10,0,-1
git branch -b feature,git branch feature,DEPRECATED_USAGE,0,0,1,3,1,0
git status -f,git status,WRONG_FLAG,0,1,1,3,1,0
git,git status,MISSING_ARG,0,1,1,7,0,0
ls -la,git merge feature,UNKNOWN,0,0,1,15,1,-1
git branch feature,git switch feature,PARTIALLY_CORRECT,0,0,1,4,0,0
git init,git init,CORRECT,0,0,0,0,0,0
rm -rf test,git add hello.txt,UNKNOWN,0,1,1,13,1,0
git push origin main,git merge feature,WRONG_ORDER,0,0,1,15,0,1
git show-diff,git diff,WRONG_SUBCOMMAND,0,1,1,5,0,0
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",CORRECT,1,0,1,0,0,0
git merge feature -f,git merge feature,WRONG_FLAG,0,0,1,3,1,0
git add hello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,0,0,0
git add .txt,git add hello.txt,PARTIALLY_CORRECT,0,1,1,5,0,0
gitgit branch feature,git branch feature,SYNTAX_ERROR,0,0,1,3,0,0
git switch feature extra_file.txt,git switch feature,EXTRA_ARG,0,0,1,15,0,1
git,git stash,MISSING_ARG,0,1,1,6,0,0
git status,git status,SYNTAX_ERROR,0,1,1,0,0,0
pwd,git log --oneline,UNKNOWN,0,0,1,17,-1,0
git switch feature,git stash,WRONG_ORDER,0,1,1,11,0,1
"git commit -m ""Add","git commit -m ""Add hello.txt""",MISSING_ARG,1,0,1,11,0,-1
git status --verbose,git status,WRONG_FLAG,0,1,1,10,1,0
git stats,git status,TYPO,0,1,1,1,0,0
git,git stash,MISSING_ARG,0,1,1,6,0,0
git stash,git stash,WRONG_CONTEXT_STATE,1,0,0,0,0,0
"git commit -m ""Add hello.txt"" --all","git commit -m ""Add hello.txt""",EXTRA_ARG,1,0,1,6,1,0
git log,git log --oneline,PARTIALLY_CORRECT,0,0,1,10,-1,0
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",WRONG_CONTEXT_STATE,0,1,0,0,0,0
git status -v,git status,WRONG_FLAG,0,1,1,3,1,0
git add hello.txt,git add hello.txt,CORRECT,0,1,1,0,0,0
git branch feature,git branch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git diff -f,git diff,WRONG_FLAG,0,1,1,3,1,0
$ git switch feature,git switch feature,SYNTAX_ERROR,0,0,1,2,0,1
git,git init,MISSING_ARG,0,0,0,5,0,0
git branch,git branch feature,MISSING_ARG,0,0,1,8,0,-1
git,git init,MISSING_ARG,0,0,0,5,0,0
git push origin main,git diff,WRONG_ORDER,0,1,1,15,0,2
git track hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,4,0,0
git add,git add hello.txt,MISSING_ARG,0,1,1,10,0,-1
git lg --oneline,git log --oneline,TYPO,0,0,1,1,0,0
"git commit -w ""Add hello.txt""","git commit -m ""Add hello.txt""",WRONG_FLAG,1,0,1,1,0,0
git status --all,git status,EXTRA_ARG,0,1,1,6,1,0
git status,git status,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git log --oneline,git log --oneline,CORRECT,0,0,1,0,0,0
"git commit -w ""Add hello.txt""","git commit -m ""Add hello.txt""",WRONG_FLAG,1,0,1,1,0,0
git log --pretty=oneline,git log --oneline,DEPRECATED_USAGE,0,0,1,7,0,0
init,git init,PARTIALLY_CORRECT,0,0,0,4,0,0
git merge main,"git commit -m ""Add hello.txt""",WRONG_ORDER,1,0,1,23,-1,-1
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
git merge feature --verbose,git merge feature,WRONG_FLAG,0,0,1,10,1,0
git log --pretty=oneline,git log --oneline,DEPRECATED_USAGE,0,0,1,7,0,0
git switch,git switch feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git status --dry-run,git status,WRONG_FLAG,0,1,1,10,1,0
giustatus,git status,TYPO,0,1,1,2,0,0
ls -la,git status,UNKNOWN,0,1,1,8,1,0
git commit -m,"git commit -m ""Add hello.txt""",PARTIALLY_CORRECT,1,0,1,16,0,-2
"git --commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",SYNTAX_ERROR,1,0,1,2,1,0
git add hello.txt -f,git add hello.txt,WRONG_FLAG,0,1,1,3,1,0
git stat,git status,WRONG_SUBCOMMAND,0,1,1,2,0,0
git switch feature,git branch feature,WRONG_ORDER,0,0,1,4,0,0
git merge --no-ff feature,git merge feature,DEPRECATED_USAGE,0,0,1,8,1,0
git statgs,git status,TYPO,0,1,1,1,0,0
git branch feature,git branch feature,CORRECT,0,0,1,0,0,0
git init,git init,WRONG_CONTEXT_STATE,1,1,1,0,0,0
git logg--oneline,git log --oneline,TYPO,0,0,1,1,-1,0
git merge --no-ff feature,git merge feature,DEPRECATED_USAGE,0,0,1,8,1,0
git,git status,MISSING_ARG,0,1,1,7,0,0
git,git diff,MISSING_ARG,0,1,1,5,0,0
git diff,git diff,CORRECT,0,1,1,0,0,0
git difj,git diff,TYPO,0,1,1,1,0,0
cat hello.txt,git merge feature,UNKNOWN,0,0,1,13,0,-1
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
git --stash,git stash,SYNTAX_ERROR,0,1,1,2,1,0
git switch=feature,git switch feature,SYNTAX_ERROR,0,0,1,1,0,-1
git changes,git diff,WRONG_SUBCOMMAND,0,1,1,7,0,0
git add hello.txt --dry-run,git add hello.txt,WRONG_FLAG,0,1,1,10,1,0
git merge --no-ff feature,git merge feature,DEPRECATED_USAGE,0,0,1,8,1,0
git status -s,git status,DEPRECATED_USAGE,0,1,1,3,1,0
git add .txt,git add hello.txt,PARTIALLY_CORRECT,0,1,1,5,0,0
gjt switch feature,git switch feature,TYPO,0,0,1,1,0,0
git init .,git init,DEPRECATED_USAGE,0,0,0,2,0,1
git merge feature,git merge feature,CORRECT,0,0,1,0,0,0
git adcd hello.tgxt,git add hello.txt,TYPO,0,1,1,2,0,0
git branch feature,git branch feature,SYNTAX_ERROR,0,0,1,0,0,0
git switch,git switch feature,MISSING_ARG,0,0,1,8,0,-1
"git commit -m ""Add hzllo.xt""","git commit -m ""Add hello.txt""",TYPO,1,0,1,2,0,0
git log,git log --oneline,PARTIALLY_CORRECT,0,0,1,10,-1,0
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",WRONG_CONTEXT_STATE,0,1,0,0,0,0
npm install,git switch feature,UNKNOWN,0,0,1,15,0,-1
gi init,git init,TYPO,0,0,0,1,0,0
git commit --message 'Add hello.txt',"git commit -m ""Add hello.txt""",DEPRECATED_USAGE,1,0,1,9,0,0
git add=hello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,1,0,-1
git init,git init,CORRECT,0,0,0,0,0,0
git new feature,git branch feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
git merge feature --verbose,git merge feature,WRONG_FLAG,0,0,1,10,1,0
git log --oneline extra_file.txt,git log --oneline,EXTRA_ARG,0,0,1,15,0,1
git --diff,git diff,SYNTAX_ERROR,0,1,1,2,1,0
gitaddhello.txt,git add hello.txt,SYNTAX_ERROR,0,1,1,2,0,-1
git log --oneline,git log --oneline,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git add hyllo.txt,git add hello.txt,TYPO,0,1,1,1,0,0
git branch feature,git switch feature,PARTIALLY_CORRECT,0,0,1,4,0,0
git switch feature,git switch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git branch -m feature,git merge feature,PARTIALLY_CORRECT,0,0,1,9,1,0
git switch feature,git switch feature,CORRECT,0,0,1,0,0,0
git diff HEAD,git diff,DEPRECATED_USAGE,0,1,1,5,0,1
git merge feature --verbose,git merge feature,EXTRA_ARG,0,0,1,10,1,0
git add -u hello.txt,git add hello.txt,DEPRECATED_USAGE,0,1,1,3,1,0
gitgit stash,git stash,SYNTAX_ERROR,0,1,1,3,0,0
git init .,git init,DEPRECATED_USAGE,0,0,0,2,0,1
"git commit -m ""Add hello.txt"" -v","git commit -m ""Add hello.txt""",EXTRA_ARG,1,0,1,3,1,0
git log --oneline extra_file.txt,git log --oneline,EXTRA_ARG,0,0,1,15,0,1
git dd hello.txt,git add hello.txt,TYPO,0,1,1,1,0,0
gitinit,git init,SYNTAX_ERROR,0,0,0,1,0,0
git stash extra_file.txt,git stash,EXTRA_ARG,0,1,1,15,0,1
git,git stash,MISSING_ARG,0,1,1,6,0,0
git status -f,git status,WRONG_FLAG,0,1,1,3,1,0
git branch feature -v,git branch feature,WRONG_FLAG,0,0,1,3,1,0
git history,git log --oneline,WRONG_SUBCOMMAND,0,0,1,12,-1,0
git log,git log --oneline,MISSING_ARG,0,0,1,10,-1,0
git add helo.tzxt,git add hello.txt,TYPO,0,1,1,2,0,0
git init --all,git init,EXTRA_ARG,0,0,0,6,1,0
rm -rf test,git merge feature,UNKNOWN,0,0,1,12,1,0
git branch,git branch feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git diff,git diff,CORRECT,0,1,1,0,0,0
git mrge feature,git merge feature,TYPO,0,0,1,1,0,0
git go feature,git switch feature,WRONG_SUBCOMMAND,0,0,1,6,0,0
gitbranchfeature,git branch feature,SYNTAX_ERROR,0,0,1,2,0,-1
git log --pretty=oneline,git log --oneline,DEPRECATED_USAGE,0,0,1,7,0,0
ls -la,git init,UNKNOWN,0,0,0,7,1,0
git push origin main,git add hello.txt,WRONG_ORDER,0,1,1,15,0,1
git track hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,4,0,0
git add .txt,git add hello.txt,PARTIALLY_CORRECT,0,1,1,5,0,0
git --merge feature,git merge feature,SYNTAX_ERROR,0,0,1,2,1,0
git stash --dry-run,git stash,WRONG_FLAG,0,1,1,10,1,0
git merge feature,git merge feature,CORRECT,0,0,1,0,0,0
git switch feature,git switch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git status --dry-run,git status,EXTRA_ARG,0,1,1,10,1,0
git status -s,git status,DEPRECATED_USAGE,0,1,1,3,1,0
pwd,git branch feature,UNKNOWN,0,0,1,18,0,-1
git --status,git status,SYNTAX_ERROR,0,1,1,2,1,0
git stash,git stash,SYNTAX_ERROR,0,1,1,0,0,0
git push,"git commit -m ""Add hello.txt""",WRONG_SUBCOMMAND,1,0,1,24,-1,-2
git commit --message 'Add hello.txt',"git commit -m ""Add hello.txt""",DEPRECATED_USAGE,1,0,1,9,0,0
git branch,git branch feature,MISSING_ARG,0,0,1,8,0,-1
gie switchhfeature,git switch feature,TYPO,0,0,1,2,0,-1
git --log --oneline,git log --oneline,SYNTAX_ERROR,0,0,1,2,1,0
git switch feature,git switch feature,CORRECT,0,0,1,0,0,0
git status -v,git status,WRONG_FLAG,0,1,1,3,1,0
git branch feature --verbose,git branch feature,EXTRA_ARG,0,0,1,10,1,0
git merge feature,git merge feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git init .,git init,DEPRECATED_USAGE,0,0,0,2,0,1
git stash,git stash,CORRECT,0,1,1,0,0,0
git switch feature extra_file.txt,git switch feature,EXTRA_ARG,0,0,1,15,0,1
git switch feature -v,git switch feature,EXTRA_ARG,0,0,1,3,1,0
git init,git init,SYNTAX_ERROR,0,0,0,0,0,0
pip install requests,git diff,UNKNOWN,0,1,1,17,0,1
gitlog--oneline,git log --oneline,SYNTAX_ERROR,0,0,1,2,-1,0
git sta,git stash,PARTIALLY_CORRECT,0,1,1,2,0,0
git add,git add hello.txt,PARTIALLY_CORRECT,0,1,1,10,0,-1
git status -s,git status,DEPRECATED_USAGE,0,1,1,3,1,0
git start,git init,WRONG_SUBCOMMAND,0,0,0,4,0,0
git add hello.txt extra_file.txt,git add hello.txt,EXTRA_ARG,0,1,1,15,0,1
git init,git init,SYNTAX_ERROR,0,0,0,0,0,0
git merge main,git log --oneline,WRONG_ORDER,0,0,1,11,-1,1
git pull feature,git merge feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
git merge main,git diff,WRONG_ORDER,0,1,1,10,0,1
python script.py,git add hello.txt,UNKNOWN,0,1,1,15,0,-1
git --diff,git diff,SYNTAX_ERROR,0,1,1,2,1,0
git add hello.txt extra_file.txt,git add hello.txt,EXTRA_ARG,0,1,1,15,0,1
git hide,git stash,WRONG_SUBCOMMAND,0,1,1,5,0,0
git,git init,PARTIALLY_CORRECT,0,0,0,5,0,0
git diff,git diff,CORRECT,0,1,1,0,0,0
git diff,git diff,SYNTAX_ERROR,0,1,1,0,0,0
git stash -f,git stash,WRONG_FLAG,0,1,1,3,1,0
git init,git init,CORRECT,0,0,0,0,0,0
git add hello.txt -v,git add hello.txt,WRONG_FLAG,0,1,1,3,1,0
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git log,git log --oneline,PARTIALLY_CORRECT,0,0,1,10,-1,0
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git init,git init,CORRECT,0,0,0,0,0,0
gitgit log --oneline,git log --oneline,SYNTAX_ERROR,0,0,1,3,0,0
git,git status,PARTIALLY_CORRECT,0,1,1,7,0,0
git,git init,MISSING_ARG,0,0,0,5,0,0
git commits,git log --oneline,WRONG_SUBCOMMAND,0,0,1,11,-1,0
git switch feature --verbose,git switch feature,WRONG_FLAG,0,0,1,10,1,0
"git commit -m""Add hello.txt","git commit -m ""Add hello.txt""",TYPO,1,0,1,2,0,-1
pwd,git add hello.txt,UNKNOWN,0,1,1,16,0,-1
pip install requests,git stash,UNKNOWN,0,1,1,14,0,1
git,git status,MISSING_ARG,0,1,1,7,0,0
git init .,git init,DEPRECATED_USAGE,0,0,0,2,0,1
git add hello.txt extra_file.txt,git add hello.txt,EXTRA_ARG,0,1,1,15,0,1
git pull feature,git merge feature,WRONG_SUBCOMMAND,0,0,1,5,0,0
status,git status,PARTIALLY_CORRECT,0,1,1,4,0,0
git --log --oneline,git log --oneline,SYNTAX_ERROR,0,0,1,2,1,0
diff,git diff,PARTIALLY_CORRECT,0,1,1,4,0,0
git branlh feature,git branch feature,TYPO,0,0,1,1,0,0
git push origin main,git stash,WRONG_ORDER,0,1,1,14,0,2
git add hello.txt,git add hello.txt,CORRECT,0,1,1,0,0,0
git log --oneline,git log --oneline,WRONG_CONTEXT_STATE,1,1,0,0,0,0
cd ..,git merge feature,UNKNOWN,0,0,1,16,0,-1
